source,section,table_title,crime_type,parish,lat,lng,year,value
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Murder,National,18,-77.2,2018,1287
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Murder,National,18,-77.2,2019,1339
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Murder,National,18,-77.2,2020,1333
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Murder,National,18,-77.2,2021,1479
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Murder,National,18,-77.2,2022,1513
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Murder,National,18,-77.2,2023,1399
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Shooting,National,18,-77.2,2018,1171
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Shooting,National,18,-77.2,2019,1253
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Shooting,National,18,-77.2,2020,1276
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Shooting,National,18,-77.2,2021,1265
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Shooting,National,18,-77.2,2022,1172
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Shooting,National,18,-77.2,2023,1109
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Rape,National,18,-77.2,2018,525
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Rape,National,18,-77.2,2019,545
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Rape,National,18,-77.2,2020,479
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Rape,National,18,-77.2,2021,498
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Rape,National,18,-77.2,2022,507
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Rape,National,18,-77.2,2023,475
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Aggravated Assault,National,18,-77.2,2018,384
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Aggravated Assault,National,18,-77.2,2019,392
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Aggravated Assault,National,18,-77.2,2020,402
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Aggravated Assault,National,18,-77.2,2021,355
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Aggravated Assault,National,18,-77.2,2022,343
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Aggravated Assault,National,18,-77.2,2023,350
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Robbery,National,18,-77.2,2018,1100
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Robbery,National,18,-77.2,2019,1217
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Robbery,National,18,-77.2,2020,992
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Robbery,National,18,-77.2,2021,774
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Robbery,National,18,-77.2,2022,921
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Robbery,National,18,-77.2,2023,798
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Break-ins,National,18,-77.2,2018,1189
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Break-ins,National,18,-77.2,2019,1242
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Break-ins,National,18,-77.2,2020,1016
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Break-ins,National,18,-77.2,2021,909
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Break-ins,National,18,-77.2,2022,999
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Break-ins,National,18,-77.2,2023,885
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Larceny,National,18,-77.2,2018,151
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Larceny,National,18,-77.2,2019,143
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Larceny,National,18,-77.2,2020,97
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Larceny,National,18,-77.2,2021,100
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Larceny,National,18,-77.2,2022,70
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Larceny,National,18,-77.2,2023,488
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Total,National,18,-77.2,2018,5807
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Total,National,18,-77.2,2019,6131
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Total,National,18,-77.2,2020,5595
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Total,National,18,-77.2,2021,5380
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Total,National,18,-77.2,2022,5525
Statistical Institute of Jamaica,Crime and Justice,Major Crimes / Crimes Reported,Total,National,18,-77.2,2023,5504
